gyarto;modell;gyartas_eve;szin;alvazszam;rendszam;uzemanyag;ajtok_szama;kormany_oldal;forgalomban
Ford;Probe;1997;Aquamarine;WBAUC9C53CV332300;DRH-223;benzin;5;jobb;false
Honda;S2000;2004;Purple;WAUKC68D61A198327;JJR-128;dízel;5;bal;true
BMW;5 Series;1997;Fuscia;2T1BU4EEXBC547066;FHB-308;dízel;3;jobb;true
Cadillac;Seville;2000;Blue;WAUNG74F49N846704;HRB-085;elektromos;5;jobb;true
Mercedes-Benz;CLK-Class;2007;Blue;WAUKF78E18A366097;AWK-645;elektromos;5;jobb;false
Volvo;S80;2012;Violet;WA1AV94L37D671111;UBA-995;elektromos;5;bal;false
GMC;2500;1998;Blue;1G4HC5EM4BU399943;BLY-823;dízel;3;jobb;true
Mitsubishi;Outlander Sport;2011;Orange;WAUKH98EX8A270250;CMT-528;elektromos;5;bal;true
Porsche;911;2001;Crimson;WAUSF78K19N794039;REI-370;elektromos;3;bal;false
Chrysler;Cirrus;1996;Red;1FTEX1CM7BK606003;OAD-450;benzin;3;bal;true
Volkswagen;rio;2002;Maroon;KNDMB5C19F6779160;IJS-349;benzin;5;bal;true
Chevrolet;Silverado;2006;Red;WAUPFAFM8CA272367;OFH-018;benzin;5;jobb;true
Suzuki;Swift;1996;Khaki;WBAKE3C50BE273073;FPP-103;elektromos;3;jobb;false
Mercedes-Benz;SL-Class;1990;Aquamarine;2G61S5S30F9995819;SCV-284;dízel;3;jobb;false
Porsche;Carrera GT;2005;Goldenrod;SCBLF44J98C901547;EDA-196;benzin;3;bal;true
Lexus;ES;2011;Puce;1GD12ZCG6BF287691;MER-653;dízel;3;jobb;true
Smart;Fortwo;2008;Khaki;1N6AF0LYXEN268663;RMA-732;benzin;5;bal;false
Ford;F-Series Super Duty;2011;Goldenrod;WBAAW33421E078820;PFK-201;elektromos;3;bal;true
Porsche;911;2009;Purple;1G6D05EG4A0843191;FUQ-905;elektromos;3;bal;false
Honda;Pilot;2003;Purple;2FMPK3K90FB359080;IYC-837;elektromos;3;bal;false
Pontiac;Grand Prix;1991;Pink;WBA3B5G52EN467207;UJB-106;benzin;3;bal;false
Chevrolet;Tahoe;1999;Fuscia;1C3CCBHG6CN537923;QMG-916;elektromos;5;jobb;true
Ford;Windstar;2001;Teal;1G6KE57Y32U011138;UEO-855;elektromos;5;bal;false
Mercury;Sable;2002;Green;1G6AY5SXXF0846376;ZAL-929;benzin;3;bal;false
Dodge;Avenger;1998;Blue;3N1AB6AP2CL690812;PNW-141;elektromos;3;bal;false
Volvo;V70;2010;Puce;1G6DA5E57C0430129;VUI-400;benzin;3;bal;false
Mercury;Sable;2004;Goldenrod;3FADP0L36CR358328;PMA-466;dízel;3;bal;true
Ford;Five Hundred;2006;Mauv;YV126MFB8F1892776;UKG-840;dízel;3;bal;true
Ford;Econoline E250;1999;Puce;WBASN4C5XCC681129;DWS-645;elektromos;3;jobb;true
Lamborghini;Murciélago;2004;Orange;WAU4GBFBXBN998467;RSK-236;dízel;3;bal;false
Ford;Mustang;1996;Turquoise;JN8BS1MW4DM505114;ULO-821;elektromos;5;jobb;true
Toyota;Tercel;1995;Green;1GYFK63817R670732;IEH-007;elektromos;5;bal;true
Saab;900;1984;Crimson;2G4WS52J851035271;PXG-707;dízel;3;jobb;false
Ford;Escape;2008;Green;1G6DS1E32D0817886;WTH-086;dízel;5;jobb;true
Saab;9-5;2009;Crimson;YV4952CF1B1896663;BSI-326;dízel;5;jobb;true
Volvo;V40;2002;Indigo;1GYS4KEF0ER614548;RWL-745;dízel;5;bal;true
Buick;Skylark;1989;Yellow;1FMEU3DE0AU813634;FZR-840;dízel;5;bal;true
Mercedes-Benz;SL65 AMG;2006;Turquoise;WBA3B9C59FF314994;NIL-441;dízel;3;jobb;true
Nissan;200SX;1996;Puce;1GYFK43898R427885;WTM-713;benzin;5;jobb;true
Ford;Taurus;2001;Fuscia;WAUJGAFC4DN253982;MWE-403;dízel;5;bal;false
Scion;xA;2006;Khaki;WBADN63421G280918;VEW-705;dízel;3;bal;true
